0.000	0.100	0.000	0.005
0.100	0.100	0.000	0.005
0.200	0.098	0.000	0.005
0.300	0.096	0.000	0.005
0.400	0.092	0.000	0.005
0.500	0.088	0.000	0.005
0.600	0.083	0.000	0.005
0.700	0.076	0.000	0.005
0.800	0.070	0.000	0.005
0.900	0.062	0.000	0.005
1.000	0.054	0.000	0.005
1.100	0.045	0.000	0.005
1.200	0.036	0.000	0.005
1.300	0.027	0.000	0.005
1.400	0.017	0.001	0.005
1.500	0.007	0.002	0.005
1.600	-0.003	-0.005	0.005
1.700	-0.013	-0.001	0.005
1.800	-0.023	-0.001	0.005
1.900	-0.032	-0.000	0.005
2.000	-0.042	-0.000	0.005
2.100	-0.050	-0.000	0.005
2.200	-0.059	-0.000	0.005
2.300	-0.067	-0.000	0.005
2.400	-0.074	-0.000	0.005
2.500	-0.080	-0.000	0.005
2.600	-0.086	-0.000	0.005
2.700	-0.090	-0.000	0.005
2.800	-0.094	-0.000	0.005
2.900	-0.097	-0.000	0.005
3.000	-0.099	-0.000	0.005
3.100	-0.100	-0.000	0.005
3.200	-0.100	-0.000	0.005
3.300	-0.099	0.000	0.005
3.400	-0.097	0.000	0.005
3.500	-0.094	0.000	0.005
3.600	-0.090	0.000	0.005
3.700	-0.085	0.000	0.005
3.800	-0.079	0.000	0.005
3.900	-0.073	0.000	0.005
4.000	-0.065	0.000	0.005
4.100	-0.057	0.000	0.005
4.200	-0.049	0.001	0.005
4.300	-0.040	0.001	0.005
4.400	-0.031	0.001	0.005
4.500	-0.021	0.002	0.005
4.600	-0.011	0.003	0.005
4.700	-0.001	0.031	0.005
4.800	0.009	-0.005	0.005
4.900	0.019	-0.002	0.005
