0.000	0.100	0.000	0.005
0.100	0.100	0.502	0.005
0.200	0.099	1.014	0.005
0.300	0.097	1.535	0.005
0.400	0.094	2.067	0.005
0.500	0.090	2.611	0.005
0.600	0.085	3.170	0.005
0.700	0.079	3.746	0.005
0.800	0.073	4.344	0.005
0.900	0.065	4.972	0.005
1.000	0.057	5.643	0.006
1.100	0.048	6.381	0.006
1.200	0.039	7.237	0.006
1.300	0.029	8.336	0.006
1.400	0.019	10.096	0.006
1.500	0.008	15.299	0.006
1.600	-0.003	-11.368	0.006
1.700	-0.013	4.106	0.006
1.800	-0.024	6.571	0.006
1.900	-0.035	7.886	0.006
2.000	-0.045	8.860	0.006
2.100	-0.055	9.690	0.006
2.200	-0.065	10.447	0.006
2.300	-0.074	11.164	0.006
2.400	-0.082	11.858	0.006
2.500	-0.090	12.540	0.006
2.600	-0.097	13.215	0.006
2.700	-0.103	13.889	0.007
2.800	-0.108	14.563	0.007
2.900	-0.112	15.242	0.007
3.000	-0.115	15.927	0.007
3.100	-0.117	16.620	0.007
3.200	-0.117	17.324	0.007
3.300	-0.117	18.041	0.007
3.400	-0.115	18.776	0.007
3.500	-0.112	19.530	0.007
3.600	-0.108	20.310	0.007
3.700	-0.103	21.123	0.007
3.800	-0.096	21.978	0.007
3.900	-0.089	22.890	0.007
4.000	-0.081	23.881	0.007
4.100	-0.072	24.988	0.008
4.200	-0.062	26.276	0.008
4.300	-0.051	27.875	0.008
4.400	-0.040	30.077	0.008
4.500	-0.028	33.728	0.008
4.600	-0.016	42.679	0.008
4.700	-0.004	185.131	0.008
4.800	0.009	3.967	0.008
4.900	0.022	16.677	0.000
